coszen,rho,rds,dust,algae,BBA
0.3,500,300,50000,0,0.7931022056
0.3,500,300,50000,10000,0.7931022056
0.3,500,300,50000,50000,0.7931022055
0.3,500,300,50000,100000,0.7931022055
0.3,500,300,50000,1000000,0.793102204
0.3,500,300,50000,15000000,0.7931021821
0.3,500,300,50000,20000000,0.7931021742
0.3,500,300,100000,0,0.7931022056
0.3,500,300,100000,10000,0.7931022056
0.3,500,300,100000,50000,0.7931022055
0.3,500,300,100000,100000,0.7931022055
0.3,500,300,100000,1000000,0.793102204
0.3,500,300,100000,15000000,0.7931021821
0.3,500,300,100000,20000000,0.7931021742
0.3,500,300,1000000,0,0.7931022056
0.3,500,300,1000000,10000,0.7931022056
0.3,500,300,1000000,50000,0.7931022055
0.3,500,300,1000000,100000,0.7931022054
0.3,500,300,1000000,1000000,0.793102204
0.3,500,300,1000000,15000000,0.793102182
0.3,500,300,1000000,20000000,0.7931021742
0.3,500,300,15000000,0,0.7931022049
0.3,500,300,15000000,10000,0.7931022049
0.3,500,300,15000000,50000,0.7931022049
0.3,500,300,15000000,100000,0.7931022048
0.3,500,300,15000000,1000000,0.7931022034
0.3,500,300,15000000,15000000,0.7931021814
0.3,500,300,15000000,20000000,0.7931021735
0.3,500,300,20000000,0,0.7931022047
0.3,500,300,20000000,10000,0.7931022047
0.3,500,300,20000000,50000,0.7931022046
0.3,500,300,20000000,100000,0.7931022046
0.3,500,300,20000000,1000000,0.7931022032
0.3,500,300,20000000,15000000,0.7931021812
0.3,500,300,20000000,20000000,0.7931021733
0.3,500,500,0,0,0.7200108072
0.3,500,500,0,10000,0.7165618678
0.3,500,500,0,50000,0.7036516201
0.3,500,500,0,100000,0.6891757108
0.3,500,500,0,1000000,0.551889719
0.3,500,500,0,15000000,0.3363936803
0.3,500,500,0,20000000,0.3241705406
0.3,500,500,10000,0,0.7197828095
0.3,500,500,10000,10000,0.7163368246
0.3,500,500,10000,50000,0.7034370515
0.3,500,500,10000,100000,0.6889719227
0.3,500,500,10000,1000000,0.5517601126
0.3,500,500,10000,15000000,0.3363317353
0.3,500,500,10000,20000000,0.3241104928
0.3,500,500,50000,0,0.7188726791
0.3,500,500,50000,10000,0.7154384679
0.3,500,500,50000,50000,0.7025804451
0.3,500,500,50000,100000,0.6881583
0.3,500,500,50000,1000000,0.5512425315
0.3,500,500,50000,15000000,0.3360843827
0.3,500,500,50000,20000000,0.3238707191
0.3,500,500,100000,0,0.7177391841
0.3,500,500,100000,10000,0.7143195907
0.3,500,500,100000,50000,0.7015134246
0.3,500,500,100000,100000,0.6871447004
0.3,500,500,100000,1000000,0.5505974491
0.3,500,500,100000,15000000,0.3357761508
0.3,500,500,100000,20000000,0.3235719383
0.3,500,500,1000000,0,0.6980951453
0.3,500,500,1000000,10000,0.6949211022
0.3,500,500,1000000,50000,0.6829895098
0.3,500,500,1000000,100000,0.6695271163
0.3,500,500,1000000,1000000,0.5393346402
0.3,500,500,1000000,15000000,0.3304043459
0.3,500,500,1000000,20000000,0.3183660883
0.3,500,500,15000000,0,0.5064905968
0.3,500,500,15000000,10000,0.5051085148
0.3,500,500,15000000,50000,0.4997691513
0.3,500,500,15000000,100000,0.4934852439
0.3,500,500,15000000,1000000,0.4219599462
0.3,500,500,15000000,15000000,0.2758212379
0.3,500,500,15000000,20000000,0.265645193
0.3,500,500,20000000,0,0.4671922463
0.3,500,500,20000000,10000,0.4660787704
0.3,500,500,20000000,50000,0.4617597815
0.3,500,500,20000000,100000,0.4566432063
